,atomic_number,ion_number,level_number,energy,g,metastable
0,1,0,0,0.0,2,True
1,1,1,0,0.0,1,True
2,2,0,0,0.0,1,True
3,2,0,1,19.819626579647352,3,True
4,2,0,2,20.615788258249584,1,True
5,2,0,3,20.964099298623545,5,False
6,2,0,4,20.96410872142263,3,False
7,2,0,5,20.964117028363923,5,True
8,2,0,6,20.96411715234812,9,True
9,2,0,7,20.96423121781068,1,False
10,2,0,8,21.218035798865728,3,False
11,2,0,9,22.718479178010885,3,False
12,2,0,10,22.920330908364864,1,False
13,2,0,11,23.007084883724154,5,False
14,2,0,12,23.00708761137652,3,False
15,2,0,13,23.007089843092086,5,True
16,2,0,14,23.00712121109429,1,False
17,2,0,15,23.073663158440795,7,False
18,2,0,16,23.073663406409192,5,False
19,2,0,17,23.07366439828278,7,True
20,2,0,18,23.073668861713923,3,False
21,2,0,19,23.074087308383632,5,False
22,2,0,20,23.087032002605245,3,False
23,2,0,21,23.593971030122816,3,False
24,2,0,22,23.673583887604945,1,False
25,2,0,23,23.707901845841864,5,False
26,2,0,24,23.70790296169965,3,False
27,2,0,25,23.70791659996147,1,False
28,2,0,26,23.736103167633278,7,False
29,2,0,27,23.736103415601676,5,False
30,2,0,28,23.73610378755427,15,False
31,2,0,29,23.736105647317245,3,False
32,2,0,30,23.736348160409385,5,False
33,2,0,31,23.737020278749092,5,False
34,2,0,32,23.737020278749092,7,False
35,2,0,33,23.737020278749092,9,False
36,2,0,34,23.737021518591074,7,False
37,2,0,35,23.742083421460503,3,False
38,2,0,36,23.97198384905763,3,False
39,2,0,37,24.011229559261277,1,False
40,2,0,38,24.028237091681355,5,False
41,2,0,39,24.028237711602344,3,False
42,2,0,40,24.02824453073326,1,False
43,2,0,41,24.042673935731113,5,False
44,2,0,42,24.042673935731113,7,False
45,2,0,43,24.042674183699514,15,False
46,2,0,44,24.042675175573102,3,False
47,2,0,45,24.042816269590922,5,False
48,2,0,46,24.043162061520345,5,False
49,2,0,47,24.043162061520345,7,False
